adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000023197-22-000003	23197	COMTECH TELECOMMUNICATIONS CORP /DE/	3663	US	NY	MELVILLE	11747	68 SOUTH SERVICE ROAD	SUITE 230	6319627000	US	NY	MELVILLE	11747	68 SOUTH SERVICE ROAD	SUITE 230	US	DE	112139466	COMTECH INC	19870503	2-ACC	0	0731	8-K	20211231			20220103	2022-01-03 17:07:00.0	0	0	cmtl-20211231_htm.xml	1					
0000048039-22-000002	48039	HOLLYFRONTIER CORP	2911	US	TX	DALLAS	75201	2828 N. HARWOOD	SUITE 1300	2148713555	US	TX	DALLAS	75201	2828 N. HARWOOD	SUITE 1300	US	DE	751056913	HOLLY CORP	19920703	1-LAF	0	1231	8-K	20211231			20220103	2022-01-03 06:21:00.0	0	0	hfc-20220103_htm.xml	1					
0000048039-22-000004	48039	HOLLYFRONTIER CORP	2911	US	TX	DALLAS	75201	2828 N. HARWOOD	SUITE 1300	2148713555	US	TX	DALLAS	75201	2828 N. HARWOOD	SUITE 1300	US	DE	751056913	HOLLY CORP	19920703	1-LAF	0	1231	8-K	20211231			20220103	2022-01-03 16:40:00.0	0	0	hfc-20220103_htm.xml	1					
0000067215-22-000002	67215	DYCOM INDUSTRIES INC	1623	US	FL	PALM BEACH GARDENS	33408	11780 U.S. HIGHWAY 1	SUITE 600	561-627-7171	US	FL	PALM BEACH GARDENS	33408	11780 U.S. HIGHWAY 1	SUITE 600	US	FL	591277135	MOBILE HOME DYNAMICS INC	19820302	1-LAF	0	0131	8-K	20211231			20220103	2022-01-03 08:11:00.0	0	0	dy-20211230_htm.xml	1					
0000081061-22-000004	81061	PUBLIX SUPER MARKETS INC	5411	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		863-688-1188	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		US	FL	590324412			4-NON	0	1231	8-K	20211231			20220103	2022-01-03 15:45:00.0	0	0	ck0000081061-20220101_htm.xml	1					
0000202058-22-000002	202058	L3HARRIS TECHNOLOGIES, INC. /DE/	3812	US	FL	MELBOURNE	32919	1025 W NASA BLVD		3217279100	US	FL	MELBOURNE	32919	1025 W NASA BLVD		US	DE	340276860	HARRIS CORP /DE/	19920703	1-LAF	0	1231	8-K	20211231			20220103	2022-01-03 11:56:00.0	1	0	hrs-20220103_htm.xml	1					
0000277509-22-000002	277509	FEDERAL SIGNAL CORP /DE/	3711	US	IL	OAK BROOK	60523	1415 WEST 22ND STREET	SUITE 1100	630-954-2000	US	IL	OAK BROOK	60523	1415 WEST 22ND STREET	SUITE 1100	US	DE	361063330	FEDERAL SIGN & SIGNAL CORP /DE/	19600201	1-LAF	0	1231	8-K	20211231			20220103	2022-01-03 13:37:00.0	0	0	fss-20211230_htm.xml	1					
0000354707-22-000002	354707	HAWAIIAN ELECTRIC INDUSTRIES INC	4911	US	HI	HONOLULU	96813	1001 BISHOP STREET, SUITE 2900		8085435662	US	HI	HONOLULU	96808-0730	P.O. BOX 730		US	HI	990208097	HAWAIIAN ELECTRIC CO LTD	19670212	1-LAF	0	1231	8-K	20211231			20220103	2022-01-03 16:13:00.0	0	0	he-20211228_htm.xml	2	46207				
0000357173-22-000004	357173	OLD SECOND BANCORP INC	6022	US	IL	AURORA	60507	37 S RIVER ST		6308920202	US	IL	AURORA	60507	37 SOUTH RIVER STREET		US	DE	363143493			2-ACC	0	1231	8-K	20211231			20220103	2022-01-03 17:16:00.0	0	0	osbc-20220103x8k_htm.xml	1					
0000701869-22-000002	701869	INDEPENDENCE HOLDING CO	6311	US	CT	STAMFORD	06902	96 CUMMINGS POINT RD		2033588000	US	CT	STAMFORD	06902	96 CUMMINGS POINT ROAD		US	DE	581407235	STAMFORD CAPITAL GROUP INC	19910925	2-ACC	0	1231	8-K	20211231			20220103	2022-01-03 16:25:00.0	0	0	ihc-20220103_htm.xml	1					
0000730708-22-000003	730708	SEACOAST BANKING CORP OF FLORIDA	6022	US	FL	STUART	34994	815 COLORADO AVE	P O BOX 9012	772 288 6063	US	FL	STUART	34995	815 COLORADO AVE	P O BOX 9012	US	FL	592260678			1-LAF	0	1231	8-K	20211231			20220103	2022-01-03 09:10:00.0	0	0	sbcf-20220103_htm.xml	1					
0000746210-22-000003	746210	OBLONG, INC.	7370	US	CO	CONIFER	80433	25587 CONIFER ROAD	SUITE 105-231	303-640-3838	US	CO	CONIFER	80433	25587 CONIFER ROAD	SUITE 105-231	US	DE	770312442	GLOWPOINT, INC.	20110809	4-NON	0	1231	8-K	20211231			20220103	2022-01-03 16:10:00.0	0	0	glow-20220103_htm.xml	1					
0000750686-22-000005	750686	CAMDEN NATIONAL CORP	6021	US	ME	CAMDEN	04843	TWO ELM ST		2072368821	US	ME	CAMDEN	04843	2 ELM ST		US	ME	010413282			2-ACC	0	1231	8-K	20211231			20220103	2022-01-03 16:18:00.0	0	0	cac-20211227_htm.xml	1					
