adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000014707-22-000055	14707	CALERES INC	3140	US	MO	ST LOUIS	63105	8300 MARYLAND AVE	P O BOX 29	3148544000	US	MO	ST LOUIS	63166	P O BOX 29		US	NY	430197190	BROWN SHOE CO INC	20030613	1-LAF	0	0131	8-K	20220831			20220901	2022-09-01 15:32:00.0	0	0	cal-20220826x8k_htm.xml	1					
0000014846-22-000040	14846	BRT APARTMENTS CORP.	6798	US	NY	GREAT NECK	11021-3190	60 CUTTER MILL RD	SUITE 303	5164663100	US	NY	GREAT NECK	11021	60 CUTTER MILL ROAD	SUITE 303	US	NY	132755856	BRT REALTY TRUST	20170206	4-NON	0	1231	8-K	20220831			20220901	2022-09-01 16:13:00.0	0	0	brt-20220901_htm.xml	1					
0000016732-22-000087	16732	CAMPBELL SOUP CO	2000	US	NJ	CAMDEN	08103	CAMPBELL PL		8563424800	US	NJ	CAMDEN	08103	CAMPBELL PL		US	NJ	210419870			1-LAF	0	0731	8-K	20220831			20220901	2022-09-01 07:30:00.0	0	0	cpb-20220901_htm.xml	1					
0000020286-22-000053	20286	CINCINNATI FINANCIAL CORP	6331	US	OH	FAIRFIELD	45014	6200 S GILMORE RD		5138702000	US	OH	CINCINNATI	45250	P.O. BOX 145496		US	OH	310746871			1-LAF	0	1231	8-K	20220831			20220901	2022-09-01 08:14:00.0	0	0	cinf-20220901_htm.xml	1					
0000028917-22-000014	28917	DILLARD'S, INC.	5311	US	AR	LITTLE ROCK	72201	1600 CANTRELL RD		5013765200	US	AR	LITTLE ROCK	72201	1600 CANTRELL ROAD		US	AR	710388071	DILLARDS INC	19980622	1-LAF	0	0131	10-Q	20220731	2022	Q2	20220901	2022-09-01 17:12:00.0	0	1	dds-20220730x10q_htm.xml	1					
0000034563-22-000066	34563	FARMER BROTHERS CO	2090	US	TX	NORTHLAKE	76262	1912 FARMER BROTHERS DRIVE		888 998 2468	US	TX	FORT WORTH	76177	P O BOX 77057		US	DE	950725980			2-ACC	0	0630	8-K	20220831			20220901	2022-09-01 16:02:00.0	0	0	farm-20220901_htm.xml	1					
0000037472-22-000048	37472	FLEXSTEEL INDUSTRIES INC	2510	US	IA	DUBUQUE	52001	385 BELL ST.		3195567730	US	IA	DUBUQUE	52004-0877	P.O. BOX 877		US	MN	420442319			2-ACC	0	0630	8-K	20220831			20220901	2022-09-01 10:29:00.0	0	0	flxs-20220901x8k_htm.xml	1					
0000043920-22-000063	43920	GREIF, INC	3412	US	OH	DELAWARE	43015	425 WINTER ROAD		7405496000	US	OH	DELAWARE	43015	425 WINTER ROAD		US	DE	314388903	GREIF INC	20030610	1-LAF	0	1031	8-K	20220831			20220901	2022-09-01 10:26:00.0	0	0	gef-20220901_htm.xml	1					
0000043920-22-000066	43920	GREIF, INC	3412	US	OH	DELAWARE	43015	425 WINTER ROAD		7405496000	US	OH	DELAWARE	43015	425 WINTER ROAD		US	DE	314388903	GREIF INC	20030610	1-LAF	0	1031	10-Q	20220731	2022	Q3	20220901	2022-09-01 13:35:00.0	0	1	gef-20220731_htm.xml	1					
0000048465-22-000042	48465	HORMEL FOODS CORP /DE/	2011	US	MN	AUSTIN	55912-3680	1 HORMEL PL		(507) 437-5611	US	MN	AUSTIN	55912-3680	1 HORMEL PLACE		US	DE	410319970	HORMEL GEO A & CO	19920703	1-LAF	0	1031	8-K	20220831			20220901	2022-09-01 06:33:00.0	0	0	hrl-20220901_htm.xml	1					
0000048465-22-000044	48465	HORMEL FOODS CORP /DE/	2011	US	MN	AUSTIN	55912-3680	1 HORMEL PL		(507) 437-5611	US	MN	AUSTIN	55912-3680	1 HORMEL PLACE		US	DE	410319970	HORMEL GEO A & CO	19920703	1-LAF	0	1031	10-Q	20220731	2022	Q3	20220901	2022-09-01 14:30:00.0	0	1	hrl-20220731_htm.xml	1					
