adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000002178-22-000083	2178	ADAMS RESOURCES & ENERGY, INC.	5172	US	TX	HOUSTON	77027	17 S. BRIAR HOLLOW LN.		713-881-3600	US	TX	HOUSTON	77001	P O BOX 844		US	DE	741753147	ADAMS RESOURCES & ENERGY INC	19920703	4-NON	0	1231	8-K	20221031			20221101	2022-11-01 08:05:00.0	0	0	ae-20221027_htm.xml	1					
0000002488-22-000168	2488	ADVANCED MICRO DEVICES INC	3674	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		(408) 749-4000	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		US	DE	941692300			1-LAF	0	1231	8-K	20221031			20221101	2022-11-01 16:18:00.0	0	0	amd-20221101_htm.xml	1					
0000005513-22-000152	5513	UNUM GROUP	6321	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		423-294-1011	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		US	DE	621598430	UNUMPROVIDENT CORP	19990702	1-LAF	0	1231	8-K	20221031			20221101	2022-11-01 16:26:00.0	0	0	unm-20221101_htm.xml	1					
0000006955-22-000033	6955	ENERPAC TOOL GROUP CORP	3590	US	WI	MENOMONEE FALLS	53051	ATTN:  BRYAN JOHNSON	N86 W12500 WESTBROOK CROSSING	262-293-1697	US	WI	MENOMONEE FALLS	53051	ATTN:  BRYAN JOHNSON	N86 W12500 WESTBROOK CROSSING	US	WI	390168610	ACTUANT CORP	20010110	1-LAF	0	0831	8-K	20221031			20221101	2022-11-01 10:38:00.0	0	0	epac-20221026_htm.xml	1					
0000008818-22-000014	8818	AVERY DENNISON CORP	2670	US	OH	MENTOR	44060	8080 NORTON PARKWAY		440-534-6000	US	OH	MENTOR	44060	8080 NORTON PARKWAY		US	DE	951492269	AVERY DENNISON CORPORATION	19920703	1-LAF	0	1231	10-Q	20220930	2022	Q3	20221101	2022-11-01 16:12:00.0	0	1	avy-20221001_htm.xml	1					
0000014930-22-000153	14930	BRUNSWICK CORP	3510	US	IL	METTAWA	60045-3420	26125 N. RIVERWOODS BLVD. SUITE 500		8477354700	US	IL	METTAWA	60045-3420	26125 N. RIVERWOODS BLVD. SUITE 500		US	DE	360848180	BRUNSWICK BALKE COLLENDER CO	19660919	1-LAF	0	1231	10-Q	20220930	2022	Q3	20221101	2022-11-01 14:30:00.0	0	1	bcorp-20221001_htm.xml	1					
0000016732-22-000143	16732	CAMPBELL SOUP CO	2000	US	NJ	CAMDEN	08103	CAMPBELL PL		8563424800	US	NJ	CAMDEN	08103	CAMPBELL PL		US	NJ	210419870			1-LAF	0	0731	8-K	20221031			20221101	2022-11-01 16:28:00.0	0	0	cpb-20221026_htm.xml	1					
0000017313-22-000097	17313	CAPITAL SOUTHWEST CORP		US	TX	DALLAS	75225	8333 DOUGLAS AVE	SUITE 1100	2142385700	US	TX	DALLAS	75225	8333 DOUGLAS AVE	SUITE 1100	US	TX	751072796			4-NON	0	0331	10-Q	20220930	2023	Q2	20221101	2022-11-01 16:32:00.0	0	1	cswc-20220930_htm.xml	1					
0000017313-22-000098	17313	CAPITAL SOUTHWEST CORP		US	TX	DALLAS	75225	8333 DOUGLAS AVE	SUITE 1100	2142385700	US	TX	DALLAS	75225	8333 DOUGLAS AVE	SUITE 1100	US	TX	751072796			4-NON	0		424B3				20221101	2022-11-01 16:34:00.0	0	0	ck0000017313-20221031_htm.xml	1					
0000020212-22-000158	20212	CHURCHILL DOWNS INC	7948	US	KY	LOUISVILLE	40222-5389	600 N HURSTBOURNE PKWY	STE 400	15023941166	US	KY	LOUISVILLE	40222-5389	600 N HURSTBOURNE PKWY	STE 400	US	KY	610156015	CHURCHILL DOWNS INC	20160105	1-LAF	0	1231	8-K	20221031			20221101	2022-11-01 16:33:00.0	0	0	chdn-20221101_htm.xml	1					
0000021076-22-000033	21076	CLOROX CO /DE/	2842	US	CA	OAKLAND	94612-1888	THE CLOROX COMPANY	1221 BROADWAY	5102717000	US	CA	OAKLAND	94612-1305	P.O. BOX 24305		US	DE	310595760			1-LAF	0	0630	8-K	20221031			20221101	2022-11-01 16:12:00.0	0	0	clx-20221101_htm.xml	1					
0000021076-22-000035	21076	CLOROX CO /DE/	2842	US	CA	OAKLAND	94612-1888	THE CLOROX COMPANY	1221 BROADWAY	5102717000	US	CA	OAKLAND	94612-1305	P.O. BOX 24305		US	DE	310595760			1-LAF	0	0630	10-Q	20220930	2023	Q1	20221101	2022-11-01 16:45:00.0	0	1	clx-20220930_htm.xml	1					
0000023194-22-000037	23194	COMSTOCK RESOURCES INC	1311	US	TX	FRISCO	75034	5300 TOWN AND COUNTRY BLVD	STE 500	9726688800	US	TX	FRISCO	75034	5300 TOWN AND COUNTRY BLVD	STE 500	US	NV	941667468	COMSTOCK TUNNEL & DRAINAGE CO	19880121	2-ACC	0	1231	8-K	20221031			20221101	2022-11-01 16:29:00.0	0	0	crk-20221101_htm.xml	1					
0000024545-22-000018	24545	MOLSON COORS BEVERAGE CO	2082	US	CO	GOLDEN	80401	P.O. BOX 4030	NH353	303-279-6565	US	CO	GOLDEN	80401	P.O. BOX 4030	NH353	US	DE	840178360	MOLSON COORS BREWING CO	20050208	1-LAF	0	1231	10-Q	20220930	2022	Q3	20221101	2022-11-01 11:12:00.0	0	1	tap-20220930_htm.xml	1					
0000037785-22-000081	37785	FMC CORP	2800	US	PA	PHILADELPHIA	19104	2929 WALNUT STREET		215-299-6668	US	PA	PHILADELPHIA	19104	2929 WALNUT STREET		US	DE	940479804	FOOD MACHINERY & CHEMICAL CORP	19670706	1-LAF	0	1231	8-K	20221031			20221101	2022-11-01 16:36:00.0	0	0	fmc-20221101_htm.xml	1					
0000038725-22-000182	38725	FRANKLIN ELECTRIC CO INC	3621	US	IN	FORT WAYNE	46809	9255 COVERDALE ROAD		2608242900	US	IN	FORT WAYNE	46809	9255 COVERDALE ROAD		US	IN	350827455			1-LAF	0	1231	10-Q	20220930	2022	Q3	20221101	2022-11-01 16:06:00.0	0	1	fele-20220930_htm.xml	1					
0000038777-22-000171	38777	FRANKLIN RESOURCES INC	6282	US	CA	SAN MATEO	94403	ONE FRANKLIN PARKWAY	BUILDING 920/2, LEGAL-FRI SECRETARY	650-312-2000	US	CA	SAN MATEO	94403	FRANKLIN RESOURCES INC	ONE FRANKLIN PARKWAY	US	DE	132670991			1-LAF	0	0930	8-K	20221031			20221101	2022-11-01 08:46:00.0	0	0	ben-20221101_htm.xml	1					
