adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0001654954-22-007804	1644903	CBDMD, INC.	2844	US	NC	CHARLOTTE	28217	8845 RED OAK BOULEVARD		704-445-3060	US	NC	CHARLOTTE	28217	8845 RED OAK BOULEVARD		US	NC	473414576	LEVEL BRANDS, INC.	20170202	4-NON	0	1231	8-K	20220531			20220601	2022-06-01 16:06:00.0	1	0	ycbd_8k_htm.xml	1					
0001683168-22-004103	27904	DELTA AIR LINES, INC.	4512	US	GA	ATLANTA	30354-1989	HARTSFIELD-JACKSON ATLANTA INTL AIRPORT	1030 DELTA BOULEVARD	4047152600	US	GA	ATLANTA	30354	1030 DELTA BLVD.	DEPT 981	US	DE	580218548	DELTA AIR LINES INC /DE/	19920703	1-LAF	0	1231	8-K	20220531			20220601	2022-06-01 07:45:00.0	0	0	delta_8k_htm.xml	1					
0001683168-22-004108	1829794	VOLCON, INC.	3711	US	TX	ROUND ROCK	78665	2590 OAKMONT DRIVE, SUITE 520		5106982462	US	TX	ROUND ROCK	78665	2590 OAKMONT DRIVE, SUITE 520		US	DE	844882689			4-NON	0	1231	8-K	20220531			20220601	2022-06-01 08:08:00.0	0	0	volcon_8k_htm.xml	1					
0001683168-22-004116	1094084	TELKONET INC	3822	US	WI	WAUKESHA	53186	20800 SWENSON DRIVE	SUITE 175	414-302-2299	US	WI	WAUKESHA	53186	20800 SWENSON DRIVE	SUITE 175	US	UT	870627421	COMSTOCK COAL CO INC	19990830	4-NON	0	1231	8-K	20220531			20220601	2022-06-01 13:00:00.0	0	0	telkonet_8k_htm.xml	1					
0001683168-22-004120	1515317	MAGELLAN GOLD CORP	1000	US	ID	WALLACE	83873	602 CEDAR STREET	SUITE 205	707-291-6198	US	ID	WALLACE	83873	602 CEDAR STREET	SUITE 205	US	NV	273566922			4-NON	0	1231	10-K	20211231	2021	FY	20220601	2022-06-01 15:18:00.0	0	1	magellan_i10k-123121_htm.xml	1		6225268.00	20210630		1
0001733998-22-000020	1733998	NORTHWEST NATURAL HOLDING CO	4924	US	OR	PORTLAND	97204	250 SW TAYLOR STREET		503-226-4211	US	OR	PORTLAND	97204	250 SW TAYLOR STREET		US	OR	824710680			1-LAF	0	1231	8-K	20220531			20220601	2022-06-01 13:10:00.0	0	0	nwn-20220531_htm.xml	2	73020				
0000769397-22-000074	769397	AUTODESK, INC.	7372	US	CA	SAN RAFAEL	94903	111 MCINNIS PKWY		4155075000	US	CA	SAN RAFAEL	94903	111 MCINNIS PKWY		US	DE	942819853	AUTODESK INC	19920703	1-LAF	0	0131	10-Q	20220430	2023	Q1	20220602	2022-06-02 16:03:00.0	0	1	adsk-20220430_htm.xml	1					
0000885508-22-000034	885508	STRATUS PROPERTIES INC	6552	US	TX	AUSTIN	78701	212 LAVACA STREET	SUITE 300	5124785788	US	TX	AUSTIN	78701	212 LAVACA STREET	SUITE 300	US	DE	721211572	FM PROPERTIES INC	19930328	4-NON	0	1231	8-K	20220531			20220602	2022-06-02 16:54:00.0	0	0	strs-20220531_htm.xml	1					
0000909832-22-000014	909832	COSTCO WHOLESALE CORP /NEW	5331	US	WA	ISSAQUAH	98027-	999 LAKE DRIVE		4253138100	US	WA	ISSAQUAH	98027	999 LAKE DRIVE		US	WA	911223280	COSTCO COMPANIES INC	19970401	1-LAF	0	0831	10-Q	20220430	2022	Q3	20220602	2022-06-01 19:26:00.0	0	1	cost-20220508_htm.xml	1					
0001065949-22-000082	1483646	BLACKSTAR ENTERPRISE GROUP, INC.	6153	US	CO	BOULDER	80303	4450 ARAPAHOE AVE., SUITE 100		303-500-3210	US	CO	BOULDER	80303	4450 ARAPAHOE AVE., SUITE 100		US	DE	271120628	BLACKSTAR ENERGY GROUP, INC.	20100209	4-NON	0	1231	8-K	20220531			20220602	2022-06-02 12:51:00.0	0	0	blackstar8kjune22022_htm.xml	1					
0001104659-22-067259	1853084	BLUE SAFARI GROUP ACQUISITION CORP	6770	HK		CENTRAL	00000	CHEUNG KONG CENTER, 58 FLOOR, UNIT 5801	2 QUEENS ROAD CENTRAL	852-9258-9728	HK		CENTRAL	00000	CHEUNG KONG CENTER, 58 FLOOR, UNIT 5801	2 QUEENS ROAD CENTRAL	VG		000000000			4-NON	0		8-K	20220531			20220602	2022-06-01 19:50:00.0	0	0	tm2217489d1_8k_htm.xml	1					
0001104659-22-067303	1853397	XPAC ACQUISITION CORP.	6770	BR		SAO PAULO	04543-907	AV. PRESIDENTE JUSCELINO KUBITSCHEK	1909, 25TH FLOOR, TORRE SOL	55 11 3075-0429	BR		SAO PAULO	04543-907	AV. PRESIDENTE JUSCELINO KUBITSCHEK	1909, 25TH FLOOR, TORRE SOL			000000000			4-NON	0		8-K	20220531			20220602	2022-06-02 06:02:00.0	0	0	tm2213436d1_8k_htm.xml	1					
0001104659-22-067358	1798562	TMC THE METALS CO INC.	1000	CA	BC	VANCOUVER	V6C 2T5	595 HOWE STREET	10TH FLOOR	574-252-9333	CA	BC	VANCOUVER	V6C 2T5	595 HOWE STREET	10TH FLOOR	CA	BC	000000000	SUSTAINABLE OPPORTUNITIES ACQUISITION CORP.	20200102	4-NON	0	1231	8-K	20220531			20220602	2022-06-02 06:30:00.0	0	0	tm2217495d1_8k_htm.xml	1					
0001104659-22-067375	872589	REGENERON PHARMACEUTICALS, INC.	2834	US	NY	TARRYTOWN	10591	777 OLD SAW MILL RIVER ROAD		9148477000	US	NY	TARRYTOWN	10591	777 OLD SAW MILL RIVER ROAD		US	NY	133444607	REGENERON PHARMACEUTICALS INC	19930328	1-LAF	0	1231	8-K	20220531			20220602	2022-06-02 07:37:00.0	0	0	tm2217255d1_8k_htm.xml	1					
0001104659-22-067380	1102112	PACWEST BANCORP	6021	US	CA	BREA	92821	130 S. STATE COLLEGE BLVD.		(310) 887-8500	US	CA	BREA	92821	130 S. STATE COLLEGE BLVD.		US	DE	330885320	FIRST COMMUNITY BANCORP /CA/	19991229	1-LAF	0	1231	8-K	20220531			20220602	2022-06-02 08:00:00.0	0	0	tm2217542d1_8k_htm.xml	1					
