adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000006845-22-000020	6845	APOGEE ENTERPRISES, INC.	3231	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	6128351874	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	US	MN	410919654	APOGEE ENTERPRISES INC	19920703	1-LAF	0	0228	10-Q	20220531	2023	Q1	20220701	2022-07-01 14:12:00.0	0	1	apog-20220528_htm.xml	1					
0000014846-22-000030	14846	BRT APARTMENTS CORP.	6798	US	NY	GREAT NECK	11021-3190	60 CUTTER MILL RD	SUITE 303	5164663100	US	NY	GREAT NECK	11021	60 CUTTER MILL ROAD	SUITE 303	US	NY	132755856	BRT REALTY TRUST	20170206	4-NON	0	1231	8-K	20220630			20220701	2022-06-30 17:57:00.0	0	0	brt-20220630_htm.xml	1					
0000022606-22-000019	22606	COMMONWEALTH EDISON CO	4911	US	IL	CHICAGO	60605-1028	440 S LASALLE STREET		3123944321	US	IL	CHICAGO	60605-1028	440 S LASALLE STREET		US	IL	360938600	COMMONWEALTH EDISON CO	19920703		0	1231	8-K	20220630			20220701	2022-07-01 09:30:00.0	0	0	exc-20220701_htm.xml	1					
0000034088-22-000044	34088	EXXON MOBIL CORP	2911	US	TX	IRVING	75039-2298	5959 LAS COLINAS BLVD		9729406000	US	TX	IRVING	75039-2298	5959 LAS COLINAS BLVD		US	NJ	135409005	EXXON CORP	19920703	1-LAF	0	1231	8-K	20220630			20220701	2022-07-01 16:23:00.0	0	0	xom-20220701_htm.xml	1					
0000040211-22-000077	40211	GATX CORP	4700	US	IL	CHICAGO	60606-7147	233 SOUTH WACKER DRIVE		3126216200	US	IL	CHICAGO	60606-7147	233 SOUTH WACKER DRIVE		US	NY	361124040	GENERAL AMERICAN TRANSPORTATION CORP	19750722	1-LAF	0	1231	8-K	20220630			20220701	2022-07-01 08:32:00.0	0	0	gatx-20220630_htm.xml	1					
0000055529-22-000012	55529	KEWAUNEE SCIENTIFIC CORP /DE/	3821	US	NC	STATESVILLE	28677	2700 W FRONT ST		7048737202	US	NC	STATESVILLE	28687-1842	P O BOX 1842		US	DE	380715562	KEWAUNEE SCIENTIFIC EQUIPMENT CORP /DE/	19861216	4-NON	0	0430	10-K	20220430	2022	FY	20220701	2022-07-01 12:05:00.0	0	1	kequ-20220430_htm.xml	1		32465075.00	20211031		1
0000072903-22-000047	72903	XCEL ENERGY INC	4931	US	MN	MINNEAPOLIS	55401	414 NICOLLET MALL		6123305500	US	MN	MINNEAPOLIS	55401	414 NICOLLET MALL		US	MN	410448030	NORTHERN STATES POWER CO /MN/	19920703	1-LAF	0	1231	8-K	20220630			20220701	2022-07-01 12:50:00.0	0	0	xel-20220630_htm.xml	2	1123852				
0000081023-22-000004	81023	PUBLIC SERVICE CO OF NEW MEXICO	4931	US	NM	ALBUQUERQUE	87102-3289	414 SILVER AVE. SW		5058482700	US	NM	ALBUQUERQUE	87102-3289	414 SILVER AVE. SW		US	NM	850019030				0	1231	8-K	20220630			20220701	2022-07-01 16:12:00.0	0	0	pnm-20220701_htm.xml	1					
0000081061-22-000029	81061	PUBLIX SUPER MARKETS INC	5411	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		863-688-1188	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		US	FL	590324412			4-NON	0	1231	8-K	20220630			20220701	2022-07-01 14:54:00.0	0	0	ck0000081061-20220701_htm.xml	1					
0000357173-22-000057	357173	OLD SECOND BANCORP INC	6022	US	IL	AURORA	60507	37 S RIVER ST		6308920202	US	IL	AURORA	60507	37 SOUTH RIVER STREET		US	DE	363143493			2-ACC	0	1231	8-K	20220630			20220701	2022-07-01 15:19:00.0	0	0	osbc-20220701x8k_htm.xml	1					
0000703351-22-000029	703351	BRINKER INTERNATIONAL, INC	5812	US	TX	DALLAS	75019	3000 OLYMPUS BLVD.		9729809917	US	TX	DALLAS	75019	3000 OLYMPUS BLVD.		US	DE	751914582	BRINKER INTERNATIONAL INC	19920703	1-LAF	0	0630	8-K	20220630			20220701	2022-07-01 16:45:00.0	0	0	eat-20220630_htm.xml	1					
0000898173-22-000031	898173	O REILLY AUTOMOTIVE INC	5531	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE		417-829-5878	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE				274358837			1-LAF	0	1231	8-K	20220630			20220701	2022-07-01 16:33:00.0	0	0	orly-20220701x8k_htm.xml	1					
0000950170-22-012404	1826681	SARCOS TECHNOLOGY & ROBOTICS CORP	3569	US	UT	SALT LAKE CITY	84101	650 SOUTH 500 WEST		888-927-7296	US	UT	SALT LAKE CITY	84101	650 SOUTH 500 WEST		US	DE	000000000	SARCOS TECHNOLOGY & ROBOTICS CORPORATION.	20210924	4-NON	0	1231	8-K	20220630			20220701	2022-06-30 18:00:00.0	0	0	strc-20220629_htm.xml	1					
0001104659-22-076424	1798562	TMC THE METALS CO INC.	1000	CA	BC	VANCOUVER	V6C 2T5	595 HOWE STREET	10TH FLOOR	574-252-9333	CA	BC	VANCOUVER	V6C 2T5	595 HOWE STREET	10TH FLOOR	CA	BC	000000000	SUSTAINABLE OPPORTUNITIES ACQUISITION CORP.	20200102	4-NON	0	1231	POS AM	20220331			20220701	2022-06-30 21:11:00.0	0	1	tmc-20220331xs1a_htm.xml	1					
0001104659-22-076449	1526113	GLOBAL NET LEASE, INC.	6798	US	NY	NEW YORK	10019	650 FIFTH AVE	30TH FLOOR	212-415-6500	US	NY	NEW YORK	10019	650 FIFTH AVE	30TH FLOOR			452771978	AMERICAN REALTY CAPITAL GLOBAL TRUST, INC.	20120810	1-LAF	0	1231	8-K	20220630			20220701	2022-07-01 06:01:00.0	0	0	tm2218592d1_8k_htm.xml	1					
0001104659-22-076455	1561032	HEALTHCARE TRUST, INC.	6798	US	NY	NEW YORK	10019	650 FIFTH AVENUE	30TH FLOOR	212-415-6500	US	NY	NEW YORK	10019	650 FIFTH AVENUE	30TH FLOOR	US	MD	383888962	AMERICAN REALTY CAPITAL HEALTHCARE TRUST II, INC.	20121025	4-NON	0	1231	8-K	20220630			20220701	2022-07-01 06:03:00.0	0	0	tm2218702d2_8k_htm.xml	1					
0001104659-22-076459	1568162	NECESSITY RETAIL REIT, INC.	6798	US	NY	NEW YORK	10019	650 FIFTH AVE	30TH FLOOR	212-415-6500	US	NY	NEW YORK	10019	650 FIFTH AVE	30TH FLOOR	US	MD	900929989	AMERICAN FINANCE TRUST, INC	20150623	1-LAF	0	1231	8-K	20220630			20220701	2022-07-01 06:05:00.0	0	0	tm2218584d2_8k_htm.xml	1					
0001104659-22-076460	1647088	WILLSCOT MOBILE MINI HOLDINGS CORP.	7350	US	AZ	PHOENIX	85008	4646 E. VAN BUREN STREET	SUITE 400	480-894-6311	US	AZ	PHOENIX	85008	4646 E. VAN BUREN STREET	SUITE 400	US	DE	000000000	WILLSCOT CORP	20171130	1-LAF	0	1231	8-K	20220630			20220701	2022-07-01 06:05:00.0	0	0	tm2220115d1_8k_htm.xml	1					
0001104659-22-076545	1093691	PLUG POWER INC	3620	US	NY	LATHAM	12110	968 ALBANY-SHAKER ROAD		5187827700	US	NY	LATHAM	12110	968 ALBANY-SHAKER ROAD		US	DE	223672377			1-LAF	0	1231	8-K	20220630			20220701	2022-07-01 07:15:00.0	1	0	tm2220214d1_8k_htm.xml	1					
0001104659-22-076551	1760542	HOOKIPA PHARMA INC.	2834	US	NY	NEW YORK	10016	430 EAST 29TH STREET	14TH FLOOR	0114318906360	US	NY	NEW YORK	10016	430 EAST 29TH STREET	14TH FLOOR	US	DE	815395687			4-NON	0	1231	8-K	20220630			20220701	2022-07-01 08:06:00.0	0	0	tm2220184d1_8k_htm.xml	1					
0001104659-22-076565	1824502	ARCHER AVIATION INC.	3721	US	CA	SAN JOSE	95134	190 WEST TASMAN DRIVE		650-272-3233	US	CA	SAN JOSE	95134	190 WEST TASMAN DRIVE				852730902	ATLAS CREST INVESTMENT CORP.	20200911	4-NON	0	1231	POS AM	20220331			20220701	2022-07-01 08:34:00.0	0	1	achr-20220331xs1_htm.xml	1					
