adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000007332-22-000009	7332	SOUTHWESTERN ENERGY CO	1311	US	TX	SPRING	77389	10000 ENERGY DRIVE		832-796-4700	US	TX	SPRING	77389	10000 ENERGY DRIVE		US	DE	710205415	ARKANSAS WESTERN GAS CO	19790917	1-LAF	1	1231	10-K	20211231	2021	FY	20220301	2022-03-01 07:57:00.0	0	1	swn-20211231_htm.xml	1		3815156281.00	20210630		1
0000010254-22-000041	10254	EARTHSTONE ENERGY INC	1311	US	TX	THE WOODLANDS	77380	1400 WOODLOCH FOREST DRIVE	SUITE 300	281-298-4246	US	TX	THE WOODLANDS	77380	1400 WOODLOCH FOREST DRIVE	SUITE 300	US	DE	840592823	BASIC EARTH SCIENCE SYSTEMS INC	19920703	2-ACC	0	1231	8-K/A	20220131			20220301	2022-03-01 16:09:00.0	0	0	este-20220215_htm.xml	1					
0000010795-22-000022	10795	BECTON DICKINSON & CO	3841	US	NJ	FRANKLIN LAKES	07417-1880	ONE BECTON DR		2018476800	US	NJ	FRANKLIN LAKE	07417	ONE BECTON DR		US	NJ	220760120			1-LAF	0	0930	8-K	20220228			20220301	2022-03-01 16:56:00.0	0	0	bdx-20220228_htm.xml	1					
0000015615-22-000011	15615	MASTEC INC	1623	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	3055991800	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	US	FL	650829355	BURNUP & SIMS INC	19920703	1-LAF	1	1231	10-K	20211231	2021	FY	20220301	2022-03-01 16:57:00.0	0	1	mtz-20211231_htm.xml	1		5900000000.00	20210630		1
0000027419-22-000002	27419	TARGET CORP	5331	US	MN	MINNEAPOLIS	55403	1000 NICOLLET MALL		6123046073	US	MN	MINNEAPOLIS	55403	1000 NICOLLET MALL		US	MN	410215170	DAYTON HUDSON CORP	19920703	1-LAF	0	0131	8-K	20220228			20220301	2022-03-01 07:53:00.0	0	0	tgt-20220301_htm.xml	1					
0000028917-22-000004	28917	DILLARD'S, INC.	5311	US	AR	LITTLE ROCK	72201	1600 CANTRELL RD		5013765200	US	AR	LITTLE ROCK	72201	1600 CANTRELL ROAD		US	AR	710388071	DILLARDS INC	19980622	2-ACC	0	0131	8-K	20220228			20220301	2022-03-01 17:20:00.0	0	0	dds-20220224_htm.xml	1					
0000030697-22-000003	30697	WENDY'S CO	5810	US	OH	DUBLIN	43017	ONE DAVE THOMAS BLVD		(614) 764-3100	US	OH	DUBLIN	43017	ONE DAVE THOMAS BLVD		US	DE	380471180	WENDY'S/ARBY'S GROUP, INC.	20080926	1-LAF	1	1231	10-K	20211231	2021	FY	20220301	2022-03-01 07:16:00.0	0	1	wen-20220102_htm.xml	1		4136800000.00	20210630		1
0000034067-22-000023	34067	DMC GLOBAL INC.	3390	US	CO	BROOMFIELD	80021	11800 RIDGE PARKWAY	SUITE 300	3036655700	US	CO	BROOMFIELD	80021	11800 RIDGE PARKWAY	SUITE 300	US	CO	840608431	DYNAMIC MATERIALS CORP	19941205	1-LAF	1	1231	10-K	20211231	2021	FY	20220301	2022-03-01 16:26:00.0	0	1	boom-20211231_htm.xml	1		775759269.00	20210630		1
0000035214-22-000009	35214	FERRO CORP	2851	US	OH	MAYFIELD HEIGHTS	44124	6060 PARKLAND BLVD	SUITE 250	216-875-5458	US	OH	MAYFIELD HEIGHTS	44124	6060 PARKLAND BLVD	SUITE 250	US	OH	340217820			1-LAF	1	1231	10-K	20211231	2021	FY	20220301	2022-03-01 16:18:00.0	0	1	foe-20211231_htm.xml	1		1749665504.00	20210630		1
0000035214-22-000011	35214	FERRO CORP	2851	US	OH	MAYFIELD HEIGHTS	44124	6060 PARKLAND BLVD	SUITE 250	216-875-5458	US	OH	MAYFIELD HEIGHTS	44124	6060 PARKLAND BLVD	SUITE 250	US	OH	340217820			1-LAF	0	1231	8-K	20220228			20220301	2022-03-01 16:38:00.0	0	0	foe-20220301_htm.xml	1					
