adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000950170-22-013641	108516	WORTHINGTON INDUSTRIES INC	3310	US	OH	COLUMBUS	43085	200 OLD WILSON BRIDGE ROAD		6144383210	US	OH	COLUMBUS	43085	200 OLD WILSON BRIDGE ROAD		US	OH	311189815	WORTHINGTON STEEL CO	19720123	1-LAF	1	0531	10-K	20220531	2022	FY	20220801	2022-08-01 14:34:00.0	0	1	wor-20220531_htm.xml	1		1568284836.00	20211130		1
0000950170-22-013626	1316835	BUILDERS FIRSTSOURCE, INC.	5211	US	TX	DALLAS	75201	2001 BRYAN STREET, SUITE 1600		(214) 880-3500	US	TX	DALLAS	75201	2001 BRYAN STREET, SUITE 1600		US	DE	522084569			1-LAF	0	1231	10-Q	20220630	2022	Q2	20220801	2022-08-01 13:21:00.0	0	1	bldr-20220630_htm.xml	1					
0001640334-22-001627	1609258	PETROGAS CO	1311	US	TX	HOUSTON	77056	2800 POST OAK BOULEVARD	SUITE 4100	(806) 375-3338	US	TX	HOUSTON	77056	2800 POST OAK BOULEVARD	SUITE 4100	US	NV	981153516	AMERICA RESOURCES EXPLORATION INC.	20150506	4-NON	0	0331	10-Q	20220630	2023	Q1	20220801	2022-08-01 06:13:00.0	0	1	ptco_10q_htm.xml	1					
0000950170-22-013586	1484612	OUTSET MEDICAL, INC.	3845	US	CA	SAN JOSE	95134	3052 ORCHARD DRIVE		669-231-8200	US	CA	SAN JOSE	95134	3052 ORCHARD DRIVE		US	DE	200514392	HOME DIALYSIS PLUS, LTD.	20100219	1-LAF	0		8-K	20220731			20220801	2022-08-01 10:09:00.0	0	0	om-20220801_htm.xml	1					
0000950170-22-013577	1617242	KEARNY FINANCIAL CORP.	6035	US	NJ	FAIRFIELD	07004	120 PASSAIC AVENUE		(973) 244-4500	US	NJ	FAIRFIELD	07004	120 PASSAIC AVENUE				300870244			1-LAF	0	0630	8-K	20220731			20220801	2022-08-01 09:18:00.0	0	0	krny-20220801_htm.xml	1					
0000950170-22-013575	1814329	ASTRA SPACE, INC.	4700	US	CA	ALAMEDA	94501	1900 SKYHAWK STREET		(866) 278-7217	US	CA	ALAMEDA	94501	1900 SKYHAWK STREET		US	DE	000000000	HOLICITY INC.	20200608	1-LAF	0	1231	8-K	20220731			20220801	2022-08-01 09:01:00.0	0	0	astr-20220801_htm.xml	1					
0000950170-22-013562	1444380	NEVRO CORP	3841	US	CA	REDWOOD CITY	94065	1800 BRIDGE PARKWAY		650-251-0005	US	CA	REDWOOD CITY	94065	1800 BRIDGE PARKWAY				562568057			1-LAF	0	1231	8-K	20220731			20220801	2022-08-01 07:12:00.0	0	0	nvro-20220801_htm.xml	1					
0000950170-22-013561	1729173	UXIN LTD	7389	CN		BEIJING	100102	2-5/F, TOWER E, LSHM CENTER	NO.8 GUANGSHUN S AVENUE, CHAOYANG DISTRI	861056312700	CN		BEIJING	100102	2-5/F, TOWER E, LSHM CENTER	NO.8 GUANGSHUN S AVENUE, CHAOYANG DISTRI	KY		000000000			1-LAF	0	0331	20-F	20220331	2021	FY	20220801	2022-08-01 07:02:00.0	0	1	uxin-20220331_htm.xml	1					
0000950170-22-013559	1745999	BEAM THERAPEUTICS INC.	2836	US	MA	CAMBRIDGE	02139	26 LANDSDOWNE STREET		857-327-8775	US	MA	CAMBRIDGE	02139	26 LANDSDOWNE STREET		US	DE	000000000			1-LAF	0	1231	8-K	20220731			20220801	2022-08-01 06:51:00.0	0	0	beam-20220801_htm.xml	1					
0000885550-22-000064	885550	CREDIT ACCEPTANCE CORP	6141	US	MI	SOUTHFIELD	48034-8334	25505 WEST TWELVE MILE ROAD		2483532700	US	MI	SOUTHFIELD	48034-8334	25505 WEST TWELVE MILE ROAD		US	MI	381999511	CREDIT ACCEPTANCE CORPORATION	19930328	1-LAF	0	1231	10-Q	20220630	2022	Q2	20220801	2022-08-01 16:07:00.0	0	0	cacc-20220630_htm.xml	1					
