adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000019617-23-000418	19617	JPMORGAN CHASE & CO	6021	US	NY	NEW YORK	10017	383 MADISON AVENUE		2122706000	US	NY	NEW YORK	10017	383 MADISON AVENUE		US	DE	132624428	J P MORGAN CHASE & CO	20010102	1-LAF	0	1231	8-K/A	20230630			20230703	2023-06-30 17:47:00.0	0	0	jpm-20230630_htm.xml	1					
0000077543-23-000121	77543	TUTOR PERINI CORP	1540	US	CA	SYLMAR	91342	15901 OLDEN STREET		818-362-8391	US	CA	SYLMAR	91342	15901 OLDEN STREET		US	MA	041717070	TUTOR PERINI CORP	20090529	2-ACC	0	1231	8-K	20230630			20230703	2023-07-03 16:41:00.0	0	0	tpc-20230630_htm.xml	1					
0000081061-23-000029	81061	PUBLIX SUPER MARKETS INC	5411	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		863-688-1188	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		US	FL	590324412			4-NON	0	1231	8-K	20230630			20230703	2023-07-03 16:06:00.0	0	0	ck0000081061-20230703_htm.xml	1					
0000357173-23-000038	357173	OLD SECOND BANCORP INC	6022	US	IL	AURORA	60507	37 S RIVER ST		6308920202	US	IL	AURORA	60507	37 SOUTH RIVER STREET		US	DE	363143493			2-ACC	0	1231	8-K	20230630			20230703	2023-07-03 16:01:00.0	0	0	tmb-20230703x8k_htm.xml	1					
0000857855-23-000052	857855	UNITED COMMUNITY BANKS INC	6022	US	GA	BLAIRSVILLE	30512	P O BOX 398, 59 HIGHWAY 515		5818073041	US	GA	BLAIRSVILLE	30512	P O BOX 398	HIGHWAY 515	US	GA	581807304	UNION BANCSHARES INC /GA/	19600201	1-LAF	0	1231	8-K	20230630			20230703	2023-07-03 12:44:00.0	0	0	ucbi-20230701_htm.xml	1					
0000898173-23-000038	898173	O REILLY AUTOMOTIVE INC	5531	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE		417-829-5878	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE				274358837			1-LAF	0	1231	8-K	20230630			20230703	2023-07-03 16:32:00.0	0	0	orly-20230703x8k_htm.xml	1					
0000899689-23-000043	899689	VORNADO REALTY TRUST	6798	US	NY	NEW YORK	10019	888 SEVENTH AVE		212-894-7000	US	NY	NEW YORK	10019	888 SEVENTH AVE		US	MD	221657560			1-LAF	0	1231	8-K	20230630			20230703	2023-07-03 16:32:00.0	0	0	vno-20230629_htm.xml	2	1040765				
0000912463-23-000041	912463	GUESS INC	2340	US	CA	LOS ANGELES	90021	ATTN:  JASON MILLER	1444 SOUTH ALAMEDA STREET	(213) 765-3100	US	CA	LOS ANGELES	90021	ATTN:  JASON MILLER	1444 SOUTH ALAMEDA STREET	US	DE	953679695	GUESS INC ET AL/CA/	19940902	2-ACC	0	0131	8-K	20230630			20230703	2023-07-03 16:30:00.0	0	0	ges-20230630_htm.xml	1					
0000920148-23-000050	920148	LABORATORY CORP OF AMERICA HOLDINGS	8071	US	NC	BURLINGTON	27215	358 S MAIN ST		3362291127	US	NC	BURLINGTON	27215	358 S MAIN ST		US	DE	133757370	NATIONAL HEALTH LABORATORIES HOLDINGS INC	19940314	1-LAF	0	1231	8-K	20230630			20230703	2023-07-03 07:11:00.0	1	0	lh-20230630_htm.xml	1					
0000928022-23-000117	928022	CALLON PETROLEUM CO	1311	US	TX	HOUSTON	77042	2000 W SAM HOUSTON PARKWAY S	SUITE 2000	2815895200	US	TX	HOUSTON	77042	2000 W SAM HOUSTON PARKWAY S	SUITE 2000	US	DE	640844345	CALLON PETROLEUM CO	19941004	1-LAF	0	1231	8-K	20230630			20230703	2023-07-03 16:07:00.0	0	0	cpe-20230628_htm.xml	1					
