adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000010254-22-000065	10254	EARTHSTONE ENERGY INC	1311	US	TX	THE WOODLANDS	77380	1400 WOODLOCH FOREST DRIVE	SUITE 300	281-298-4246	US	TX	THE WOODLANDS	77380	1400 WOODLOCH FOREST DRIVE	SUITE 300	US	DE	840592823	BASIC EARTH SCIENCE SYSTEMS INC	19920703	2-ACC	0	1231	8-K	20220331			20220401	2022-04-01 16:11:00.0	0	0	este-20220330_htm.xml	1					
0000023197-22-000023	23197	COMTECH TELECOMMUNICATIONS CORP /DE/	3663	US	NY	MELVILLE	11747	68 SOUTH SERVICE ROAD	SUITE 230	6319627000	US	NY	MELVILLE	11747	68 SOUTH SERVICE ROAD	SUITE 230	US	DE	112139466	COMTECH INC	19870503	2-ACC	0	0731	8-K	20220331			20220401	2022-04-01 16:08:00.0	0	0	cmtl-20220328_htm.xml	1					
0000046250-22-000010	46250	HAWKINS INC	5160	US	MN	ROSEVILLE	55113	2381 ROSEGATE		6123316910	US	MN	ROSVILLE	55113	2381 ROSEGATE		US	MN	410771293	HAWKINS CHEMICAL INC	19920703	2-ACC	0	0331	8-K	20220331			20220401	2022-03-31 18:07:00.0	0	0	hwkn-20220331_htm.xml	1					
0000074208-22-000024	74208	UDR, INC.	6798	US	CO	HIGHLANDS RANCH	80129	1745 SHEA CENTER DRIVE	SUITE 200	720-283-6120	US	CO	HIGHLANDS RANCH	80129	1745 SHEA CENTER DRIVE	SUITE 200	US	MD	540857512	UNITED DOMINION REALTY TRUST INC	19920703	1-LAF	0	1231	8-K	20220331			20220401	2022-04-01 16:17:00.0	0	0	udr-20220329x8k_htm.xml	1					
0000081061-22-000016	81061	PUBLIX SUPER MARKETS INC	5411	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		863-688-1188	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		US	FL	590324412			4-NON	0	1231	8-K	20220331			20220401	2022-04-01 17:18:00.0	0	0	ck0000081061-20220401_htm.xml	1					
0000105770-22-000010	105770	WEST PHARMACEUTICAL SERVICES INC	3060	US	PA	EXTON	19341	530 HERMAN O. WEST DRIVE		6105942900	US	PA	EXTON	19341	530 HERMAN O. WEST DRIVE		US	PA	231210010	WEST CO INC	19990405	1-LAF	0	1231	8-K	20220331			20220401	2022-04-01 16:11:00.0	0	0	wst-20220331_htm.xml	1					
0000109380-22-000131	109380	ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/	6021	US	UT	SALT LAKE CITY	84133	ONE SOUTH MAIN STREET	11TH FLOOR	8018447637	US	UT	SALT LAKE CITY	84133	ONE SOUTH MAIN STREET	11TH FLOOR	US	UT	870227400	ZIONS BANCORPORATION /UT/	19920703	1-LAF	0	1231	8-K	20220331			20220401	2022-04-01 15:16:00.0	0	0	zions-20220401_htm.xml	1					
0000313616-22-000104	313616	DANAHER CORP /DE/	3823	US	DC	WASHINGTON	20037-1701	2200 PENNSYLVANIA AVE. N.W.	SUITE 800W	2028280850	US	DC	WASHINGTON	20037-1701	2200 PENNSYLVANIA AVE. N.W.	SUITE 800W	US	DE	591995548	DMG INC	19850221	1-LAF	0	1231	8-K	20220331			20220401	2022-04-01 07:05:00.0	0	0	dhr-20220401_htm.xml	1					
0000357173-22-000025	357173	OLD SECOND BANCORP INC	6022	US	IL	AURORA	60507	37 S RIVER ST		6308920202	US	IL	AURORA	60507	37 SOUTH RIVER STREET		US	DE	363143493			2-ACC	0	1231	8-K	20220331			20220401	2022-04-01 17:27:00.0	1	0	osbc-20220401x8k_htm.xml	1					
0000776867-22-000003	776867	WHITE MOUNTAINS INSURANCE GROUP LTD	6331	US	NH	HANOVER	03755	23 SOUTH MAIN STREET	SUITE 3B	603 640 2200	US	NH	HANOVER	03755	23 SOUTH MAIN STREET	SUITE 3B	BM		942708455	WHITE MOUNTAINS INSURANCE GROUP INC	19990603	1-LAF	0	1231	8-K	20220331			20220401	2022-04-01 08:03:00.0	0	0	wtm-20220331_htm.xml	1					
