adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000063296-23-000002	63296	MATTHEWS INTERNATIONAL CORP	3360	US	PA	PITTSBURGH	15212-5851	TWO NORTHSHORE CENTER		4124428200	US	PA	PITTSBURGH	15212-5851	TWO NORTHSHORE CENTER		US	PA	250644320	MATTHEWS JAMES H & CO	19780823	1-LAF	0	0930	8-K	20221231			20230103	2023-01-03 15:24:00.0	0	0	matw-20230102_htm.xml	1					
0000078814-23-000002	78814	PITNEY BOWES INC /DE/	3579	US	CT	STAMFORD	06926-0700	PITNEY BOWES INC	3001 SUMMER STREET	203-356-5000	US	CT	STAMFORD	06926-0700	3001 SUMMER STREET		US	DE	060495050			1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 13:42:00.0	0	0	pbi-20230103_htm.xml	1					
0000081061-23-000002	81061	PUBLIX SUPER MARKETS INC	5411	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		863-688-1188	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		US	FL	590324412			4-NON	0	1231	8-K	20221231			20230103	2023-01-03 15:03:00.0	0	0	ck0000081061-20230101_htm.xml	1					
0000101778-23-000003	101778	MARATHON OIL CORP	1311	US	TX	HOUSTON	77253-3128	P O BOX 3128		7136296600	US	TX	HOUSTON	77024-2217	990 TOWN AND COUNTRY BOULEVARD		US	DE	250996816	USX CORP	19920703	1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:04:00.0	0	0	mro-20221227_htm.xml	1					
0000202058-23-000002	202058	L3HARRIS TECHNOLOGIES, INC. /DE/	3812	US	FL	MELBOURNE	32919	1025 W NASA BLVD		3217279100	US	FL	MELBOURNE	32919	1025 W NASA BLVD		US	DE	340276860	HARRIS CORP /DE/	19920703	1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:26:00.0	0	0	hrs-20230103_htm.xml	1					
0000278166-23-000003	278166	CAVCO INDUSTRIES INC.	2451	US	AZ	PHOENIX	85012	3636 N CENTRAL AVE	STE 1200	602-256-6263	US	AZ	PHOENIX	85012	3636 N CENTRAL AVE	STE 1200	US	DE	860214910	CAVCO INDUSTRIES INC	19920703	1-LAF	0	0331	8-K	20221231			20230103	2023-01-03 16:08:00.0	0	0	cvco-20230103_htm.xml	1					
0000354707-23-000004	354707	HAWAIIAN ELECTRIC INDUSTRIES INC	4911	US	HI	HONOLULU	96813	1001 BISHOP STREET, SUITE 2900		8085435662	US	HI	HONOLULU	96808-0730	P.O. BOX 730		US	HI	990208097			1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 17:02:00.0	1	0	he-20230103_htm.xml	1					
0000357173-23-000003	357173	OLD SECOND BANCORP INC	6022	US	IL	AURORA	60507	37 S RIVER ST		6308920202	US	IL	AURORA	60507	37 SOUTH RIVER STREET		US	DE	363143493			2-ACC	0	1231	8-K	20221231			20230103	2023-01-03 14:46:00.0	0	0	tmb-20230103x8k_htm.xml	1					
0000712534-23-000002	712534	FIRST MERCHANTS CORP	6021	US	IN	MUNCIE	47308-0792	200 E JACKSON ST	PO BOX 792	7657471500	US	IN	MUNCIE	47305	200 EAST JACKSON STREET		US	IN	351544218			1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 09:24:00.0	0	0	frme-20221228_htm.xml	1					
0000746210-23-000003	746210	OBLONG, INC.	7370	US	CO	CONIFER	80433	25587 CONIFER ROAD	SUITE 105-231	303-640-3838	US	CO	CONIFER	80433	25587 CONIFER ROAD	SUITE 105-231	US	DE	770312442	GLOWPOINT, INC.	20110809	4-NON	0	1231	8-K	20221231			20230103	2023-01-03 09:58:00.0	0	0	glow-20230103_htm.xml	1					
0000750686-23-000003	750686	CAMDEN NATIONAL CORP	6021	US	ME	CAMDEN	04843	TWO ELM ST		2072368821	US	ME	CAMDEN	04843	2 ELM ST		US	ME	010413282			2-ACC	0	1231	8-K	20221231			20230103	2023-01-03 16:08:00.0	0	0	cac-20221229_htm.xml	1					
0000809248-23-000003	809248	CARROLS RESTAURANT GROUP, INC.	5812	US	NY	SYRACUSE	13203	968 JAMES STREET		315-424-0513	US	NY	SYRACUSE	13203	968 JAMES STREET				161287774	CARROLS HOLDINGS CORP	19870113	2-ACC	0	1231	8-K	20221231			20230103	2023-01-03 07:07:00.0	0	0	tast-20221231_htm.xml	1					
0000832480-23-000002	832480	UTG INC	6311	US	KY	STANFORD	40484	205 NORTH DEPOT STREET		2173236300	US	KY	STANFORD	40484	205 NORTH DEPOT STREET				202907892	UNITED TRUST GROUP INC	20001206	4-NON	0	1231	8-K	20221231			20230103	2023-01-03 16:04:00.0	0	0	utg8k132023_htm.xml	1					
0000874501-23-000002	874501	AMBAC FINANCIAL GROUP INC	6351	US	NY	NEW YORK	10007	ONE WORLD TRADE CENTER		2126587470	US	NY	NEW YORK	10007	ONE WORLD TRADE CENTER		US	DE	133621676	AMBAC INC /DE/	19930328	2-ACC	0	1231	8-K	20221231			20230103	2023-01-03 08:35:00.0	0	0	ambc-20221229_htm.xml	1					
0000876167-23-000004	876167	PROGRESS SOFTWARE CORP /MA	7372	US	MA	BURLINGTON	01803	15 WAYSIDE ROAD, SUITE 400		781-280-4473	US	MA	BURLINGTON	01803	15 WAYSIDE ROAD, SUITE 400		US	DE	042746201			1-LAF	0	1130	8-K	20221231			20230103	2023-01-03 16:14:00.0	0	0	prgs-20230103_htm.xml	1					
0000879526-23-000003	879526	WABASH NATIONAL CORP	3715	US	IN	LAFAYETTE	47905	3900 MCCARTY LANE		7657715310	US	IN	LAFAYETTE	47905	3900 MCCARTY LANE		US	DE	521375208	WABASH NATIONAL CORP /DE	19930328	1-LAF	0	1231	8-K	20221130			20230103	2023-01-03 16:03:00.0	0	0	wnc-20221201_htm.xml	1					
0000883984-23-000003	883984	ICU MEDICAL INC/DE	3841	US	CA	SAN CLEMENTE	92763-6212	951 CALLE AMANECER		949-366-2183	US	CA	SAN CLEMENTE	92763-6212	951 CALLE AMANECER		US	DE	330022692			1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:03:00.0	0	0	icui-20221230_htm.xml	1					
0000885550-23-000002	885550	CREDIT ACCEPTANCE CORP	6141	US	MI	SOUTHFIELD	48034-8334	25505 WEST TWELVE MILE ROAD		2483532700	US	MI	SOUTHFIELD	48034-8334	25505 WEST TWELVE MILE ROAD		US	MI	381999511	CREDIT ACCEPTANCE CORPORATION	19930328	1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:29:00.0	0	0	cacc-20221227_htm.xml	1					
0000893691-23-000003	893691	MASONITE INTERNATIONAL CORP	2430	US	FL	TAMPA	33605	1242 EAST 5TH AVENUE		813-877-2726	US	FL	TAMPA	33605	1242 EAST 5TH AVENUE		CA	BC	980377314	PREMDOR INC	19941208	1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:07:00.0	0	0	door-20221230_htm.xml	1					
0000898173-23-000002	898173	O REILLY AUTOMOTIVE INC	5531	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE		417-829-5878	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE				274358837			1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:31:00.0	0	0	orly-20230103x8k_htm.xml	1					
0000920148-23-000002	920148	LABORATORY CORP OF AMERICA HOLDINGS	8071	US	NC	BURLINGTON	27215	358 S MAIN ST		3362291127	US	NC	BURLINGTON	27215	358 S MAIN ST		US	DE	133757370	NATIONAL HEALTH LABORATORIES HOLDINGS INC	19940314	1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:35:00.0	0	0	lh-20230103_htm.xml	1					
0000929638-23-000002	1784254	MEDIACO HOLDING INC.	4832	US	NY	NEW YORK	10014	395 HUDSON ST, FLOOR 7		212-229-9797	US	NY	NEW YORK	10014	395 HUDSON ST, FLOOR 7		US	IN	842427771			4-NON	0	1231	8-K	20221231			20230103	2023-01-03 16:40:00.0	0	0	a8k_htm.xml	1					
0000936528-23-000002	936528	WASHINGTON FEDERAL INC	6021	US	WA	SEATTLE	98101	425 PIKE STREET		2066247930	US	WA	SEATTLE	98101	425 PIKE ST		US	WA	911661606			1-LAF	0	0930	8-K	20221231			20230103	2023-01-03 16:22:00.0	0	0	wfsl-20230102_htm.xml	1					
0000944809-23-000002	944809	OPKO HEALTH, INC.	2834	US	FL	MIAMI	33137	4400 BISCAYNE BLVD.		305-575-4181	US	FL	MIAMI	33137	4400 BISCAYNE BLVD.		US	DE	752402409	OPKO HEALTH, INC.	20070621	1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:16:00.0	0	0	opk-20230103_htm.xml	1					
0000950170-23-000008	1333822	SEMILEDS CORP	3674	TW		CHU-NAN	350	3F, NO. 11 KE JUNG RD., CHU-NAN SITE	HSINCHU SCIENCE PARK, MIAO-LI COUNTY	886-37-586788	TW		CHU-NAN	350	3F, NO. 11 KE JUNG RD., CHU-NAN SITE	HSINCHU SCIENCE PARK, MIAO-LI COUNTY			202735523			4-NON	0	0831	8-K	20221231			20230103	2023-01-03 06:08:00.0	0	0	leds-20230103_htm.xml	1					
0000950170-23-000012	889900	PATTERSON UTI ENERGY INC	1381	US	TX	HOUSTON	77064	10713 WEST SAM HOUSTON PARKWAY NORTH	SUITE 800	2817657100	US	TX	HOUSTON	77064	10713 WEST SAM HOUSTON PARKWAY NORTH	SUITE 800	US	DE	752504748	PATTERSON ENERGY INC	19940228	1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 06:31:00.0	0	0	pten-20230101_htm.xml	1					
0000950170-23-000013	36146	TRUSTMARK CORP	6021	US	MS	JACKSON	39201	248 E CAPITOL ST	P O BOX 291	(601) 208-5111	US	MS	JACKSON	39201	248 EAST CAPITOL STREET		US	MS	640471500	FIRST CAPITAL CORP	19900513	1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 07:00:00.0	0	0	trmk-20221231_htm.xml	1					
0000950170-23-000015	1628063	SERITAGE GROWTH PROPERTIES	6500	US	NY	NEW YORK	10110	500 FIFTH AVENUE	SUITE 1530	2123557800	US	NY	NEW YORK	10110	500 FIFTH AVENUE	SUITE 1530	US	MD	383976287	SERITAGE GROWTH PROPERTIES, INC.	20141215	2-ACC	0	1231	8-K	20221231			20230103	2023-01-03 07:07:00.0	0	0	srg-20221229_htm.xml	1					
0000950170-23-000019	1640384	LM FUNDING AMERICA, INC.	6199	US	FL	TAMPA	33606	1200 WEST PLATT STREET	SUITE 100	813-222-8996	US	FL	TAMPA	33606	1200 WEST PLATT STREET	SUITE 100	US	DE	000000000			4-NON	0	1231	8-K	20221231			20230103	2023-01-03 08:31:00.0	0	0	lmfa-20221229_htm.xml	1					
0000950170-23-000021	1477246	S&W SEED CO	0100	US	CO	LONGMONT	80501	2101 KEN PRATT BLVD.	SUITE 201	(720) 506-9191	US	CO	LONGMONT	80501	2101 KEN PRATT BLVD.	SUITE 201	US	NV	271275784			4-NON	0	0630	8-K	20221231			20230103	2023-01-03 09:01:00.0	0	0	sanw-20230103_htm.xml	1					
0000950170-23-000023	1109116	ENTRAVISION COMMUNICATIONS CORP	4833	US	CA	SANTA MONICA	90404	2425 OLYMPIC BLVD	STE 6000 WEST	3104473870	US	CA	SANTA MONICA	90404	2425 OLYMPIC BLVD	STE 6000 WEST	US	DE	954783236			2-ACC	0	1231	8-K	20221231			20230103	2023-01-03 09:09:00.0	0	0	evc-20221231_htm.xml	1					
0000950170-23-000026	910612	CBL & ASSOCIATES PROPERTIES INC	6798	US	TN	CHATTANOOGA	37421	2030 HAMILTON PLACE BVLD, SUITE 500	CBL CENTER	4238550001	US	TN	CHATTANOOGA	37421	2030 HAMILTON PLACE BVLD, SUITE 500	CBL CENTER	US	DE	621545718			4-NON	0	1231	8-K	20221231			20230103	2023-01-03 09:36:00.0	0	0	cbl-20221231_htm.xml	1					
0000950170-23-000045	1058867	GUARANTY BANCSHARES INC /TX/	6021	US	TX	MOUNT PLEASANT	75455	201 SOUTH JEFFERSON AVENUE		9035729881	US	TX	MOUNT PLEASANT	75455	201 SOUTH JEFFERSON AVENUE		US	TX	751656431			2-ACC	0	1231	8-K	20221231			20230103	2023-01-03 15:53:00.0	0	0	gnty-20230103_htm.xml	1					
0000950170-23-000048	1674930	FULGENT GENETICS, INC.	8071	US	CA	TEMPLE CITY	91780	4978 SANTA ANITA AVENUE, SUITE 205		626-350-0537	US	CA	TEMPLE CITY	91780	4978 SANTA ANITA AVENUE, SUITE 205		US	DE	812621304	FULGENT DIAGNOSTICS, INC.	20160517	1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:11:00.0	0	0	flgt-20230103_htm.xml	1					
0000950170-23-000050	1114995	IMPINJ INC	3679	US	WA	SEATTLE	98109	400 FAIRVIEW AVENUE NORTH	SUITE 1200	206-517-5300	US	WA	SEATTLE	98109	400 FAIRVIEW AVENUE NORTH	SUITE 1200	US	DE	912041398			1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:16:00.0	0	0	pi-20221229_htm.xml	1					
0000950170-23-000051	1383701	HISTOGEN INC.	2834	US	CA	SAN DIEGO	92121	10655 SORRENTO VALLEY ROAD	SUITE 200	(858) 526-3100	US	CA	San Diego	92121	10655 SORRENTO VALLEY ROAD	SUITE 200	US	DE	203183915	CONATUS PHARMACEUTICALS INC.	20140729	4-NON	0	1231	8-K	20221231			20230103	2023-01-03 16:16:00.0	0	0	hsto-20221227_htm.xml	1					
0000950170-23-000055	1468492	HEART TEST LABORATORIES, INC.	3842	US	TX	SOUTHLAKE	76092	550 RESERVE ST, SUITE 360		682-237-7781	US	TX	SOUTHLAKE	76092	550 RESERVE ST, SUITE 360		US	TX	261344466			4-NON	0	0430	8-K	20221231			20230103	2023-01-03 17:01:00.0	0	0	hscs-20221227_htm.xml	1					
0000950170-23-000059	1831096	GREAT ELM GROUP, INC.	7372	US	MA	WALTHAM	02453	800 SOUTH STREET, SUITE 230		(617) 375-3006	US	MA	WALTHAM	02453	800 SOUTH STREET, SUITE 230		US	DE	853622015			4-NON	0	0630	8-K	20221231			20230103	2023-01-03 17:13:00.0	0	0	geg-20221229_htm.xml	1					
0000950170-23-000061	857005	PTC INC.	7372	US	MA	BOSTON	02210	121 SEAPORT BOULEVARD		7813705000	US	MA	BOSTON	02210	121 SEAPORT BOULEVARD		US	MA	042866152	PARAMETRIC TECHNOLOGY CORP	19920703	1-LAF	0	0930	8-K	20221231			20230103	2023-01-03 17:17:00.0	1	0	ptc-20230103_htm.xml	1					
0001004155-23-000002	1004155	SOUTHERN CO GAS	4924	US	GA	ATLANTA	30308	30 IVAN ALLEN JR. BLVD		4045065000	US	GA	ATLANTA	30308	30 IVAN ALLEN JR. BLVD		US	GA	582210952	AGL RESOURCES INC	19951129		0	1231	8-K	20221231			20230103	2023-01-03 15:26:00.0	0	0	so-20230103_htm.xml	1					
0001017386-23-000002	1703157	SECURETECH INNOVATIONS, INC.	3714	US	MN	ROSEVILLE	55113	2355 HIGHWAY 36 WEST, SUITE 400		612-317-8990	US	MN	ROSEVILLE	55113	2355 HIGHWAY 36 WEST, SUITE 400		US	WY	820972782	SECURETECH, INC.	20170406	4-NON	0	1231	8-K	20221231			20230103	2023-01-03 16:04:00.0	0	0	scth_2022dec30-8k_htm.xml	1					
0001062231-23-000003	1062231	AMERICAN AXLE & MANUFACTURING HOLDINGS INC	3714	US	MI	DETROIT	48211-1198	ONE DAUCH DRIVE		3137583600	US	MI	DETROIT	48211-1198	ONE DAUCH DRIVE		US	DE	383161171			1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:02:00.0	0	0	axl-20221229_htm.xml	1					
0001062993-23-000002	1882607	ALPINE SUMMIT ENERGY PARTNERS, INC.	1311	CA	BC	VANCOUVER	V6C 3E8	2200 - 885 WEST GEORGIA STREET		16155053770	CA	BC	VANCOUVER	V6C 3E8	2200 - 885 WEST GEORGIA STREET		CA	BC	000000000				0	1231	8-K	20221231			20230103	2023-01-03 08:04:00.0	0	0	form8k_htm.xml	1					
0001079973-23-000004	1167419	RIOT PLATFORMS, INC.	7374	US	CO	CASTLE ROCK	80109	3855 AMBROSIA STREET, SUITE 301		303-794-2000	US	CO	CASTLE ROCK	80109	3855 AMBROSIA STREET, SUITE 301		US	NV	841553387	RIOT BLOCKCHAIN, INC.	20171004	1-LAF	0	1231	8-K	20221231			20230103	2023-01-03 16:46:00.0	0	0	riot_8k_htm.xml	1					
