dimhash	segments	segt
0xa03fbcae248dff7055d887c448b54de0	Agreement=LoanAgreement;LegalEntity=EmbraerAircraftHoldingInc;SubsequentEventType=SubsequentEvent;	0
0x62787befc3fb9052feca2e91dc86b76c	InvestmentIdentifier=DELPHI BEHAVIORAL HEALTH GROUP, LLC, First Lien B;	0
0xce870f482a662bfe08380c159bb62342	LongtermDebtType=NotePayable2;	0
0xfce6993749bee6720fe915532f75c5bb	LegalEntity=LjMapleAbbeyLimited;	0
0xb15d06d6a70709f1f244a1d3740a9060	EquityComponents=CommonStock;TitleOfIndividual=Investors;	0
0x61b7af680d3f5b635b383e97b0732ca2	LegalEntity=OldProvident;	0
0xdb03a55dd4d3baaebde6dde38d5c5388	EquityComponents=CommonStock;Restatement=ScenarioPreviouslyReported;TypeOfArrangement=EquityFinancingAgreement;	0
0x151d751d17c55b31408015da902277b6	ClassOfStock=CommonClassA;DebtInstrument=TwoThousandNineteenNotes;	0
0x4f23bf6d98e382dd06ce8526bf0536cc	LongtermDebtType=TermLoanDueInJune2025;	0
0x824f3f3b5b13f9ec0ff89d11d36c3ef2	ClassOfStock=SeriesEPreferredStock;LegalEntity=NATURALSHRIMPINCORPORATED;Range=Maximum;	0
0x9e7796677855e955eaa9805d98a66333	LegalEntity=CrownBridgePartnersLlc;	0
0xf2dcc933247c10f9cf7be45365d5c2e3	ConsolidatedEntities=OperatingSegments;	0
0x5b2d86d11e5c6e492151ee52a5c7257f	PropertyPlantAndEquipmentByType=ComputersAndOfficeEquipment;	0
0x8b5585338428a14ce491070f1a8d032e	LegalEntity=MITLicensingAgreement;	0
0x0d0f1a1a15559d2620ad491c638f70d1	DefinedBenefitPlanByPlanAssetCategories=USTreasuryAndGovernment;FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;RetirementPlanSponsorLocation=ForeignPlan;	0
0xcc61c54f053875098dfcf3bf1e923392	BusinessAcquisition=BethardGroupLimited;FiniteLivedIntangibleAssetsByMajorClass=GamingLicenses;	0
0xfd5b59d40f5fb8b2ae195d69b4758119	CreditFacility=LetterOfCredit;Range=Minimum;	0
0x96b349dd17a49ac0d66427f8e49fcc63	BusinessSegments=EnterpriseDivision;ConsolidationItems=OperatingSegments;ProductOrService=Royalties;	0
0x7dcb74dc97f88fa5be0be6c15a76682e	ShortTermDebtType=ChinaMinshengBankLoanTwo;	0
0x5f38d21d87efba083ea8cc426d537074	RealEstateAndAccumulatedDepreciationDescriptionOfProperty=ScrippsScienceParkByAlexandria;	0
0x982d054016ce646dd47de0807b1d8453	AntidilutiveOrPerformanceConditionNotMet=AntidilutiveOrPerformanceConditionNotMet;AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecurities=EmployeeStockOption;	0
0x2bfb3a1e02fcc894860461aef98496f4	BalanceSheetLocation=OtherNoncurrentAssets;FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FinancialInstrument=MoneyMarketFunds;	0
0xdd9c740a3ca344a45b53647253d75ac9	ClassesOfShareCapital=OrdinaryShares;ScheduleOfEquityMethodInvestmentEquityMethodInvesteeName=EcneHoldingsLimited;	0
0x042bac2be5b2754ef612d2496ee5342d	ClassOfStock=A8DebenturesDueFebruary152023;	0
0xa685d5f03b02eab9b34d3061ef26233a	ConsolidatedEntities=CCPharmaGmbH;ShortTermDebtType=OperatingLineOfCreditThree;	0
0x54a09e2d06eb0f0f449dbd2d2c10f783	RelatedPartyTransaction=SecondDoctor;	0
0x1ab81fdbc4d2aa6d91bf9f96b2636933	LongtermDebtType=Note9a;RelatedPartyTransactionsByRelatedParty=Ceo;	0
0xe25f2c39be06298272ec5668947b2c52	BusinessSegments=ThePrintGroup;ConsolidationItems=IntersegmentElimination;	0
0x209e097c14560c2c9eb1ff6a94ed6b71	LongtermDebtType=SecuredConvertiblePromissoryNotes;MeasurementInputType=MeasurementInputDiscountRate;Range=Maximum;	0
0x4d95f327d3ec21e12e2975aaaea0c045	ConsolidatedEntities=InterconexinElctricaS.a.Esp;JointVentures=InterligaoEltricaGaranhuns;	0
0xeba1aaa1beb509539d73a2e4013ddbd8	RelatedPartyTransaction=ChengduAixinInternationalTravelserviceCoLtd;	0
0x51df66cff8ba27ee65cc7c325d4d8473	PurchaseCommitmentExcludingLongtermCommitment=AugustOneTwoThousandSeventeenThroughJulyThirtyFirstTwoThousadTwentyTwo;	0
0xb9f6098b455bcffc6f60b152186c90c3	PropertyPlantAndEquipmentByType=AssetUnderConstruction;	0
0x002fb5060dc4939fb0faca214e82da11	EquitySecuritiesByIndustry=TotalRestaurant;ScheduleOfEquityMethodInvestmentEquityMethodInvesteeName=SaratogaCLO;	0
0x3389415c8a956e079c2559f182e0ff01	ClassOfStock=CommonClassA;ScheduleOfEquityMethodInvestmentEquityMethodInvesteeName=LjMapleAbbeyLimited;	0
0x7e77469405aa01da00e28ef59c2439ac	BalanceSheetLocation=OtherCurrentAssets;DerivativeInstrumentRisk=InterestRateContract;	0
0xdcaa94b4f00b24ead0ce5ebfa6fa7548	MeasurementInputType=MeasurementInputCommodityMarketPrice;TypeOfArrangement=AdvisoryBoardAgreement;	0
0x35f15a904a972bbf71b0b628144ef631	BusinessAcquisition=PurchaseAndSaleAgreementOfRotundaProperty;	0
0x089ff5b9081281bfc9ea69ba4ac0429b	EquitySecuritiesByIndustry=TotalFieldServiceManagement;Ownership=DaviswareLLC;ScheduleOfEquityMethodInvestmentEquityMethodInvesteeName=SaratogaCLO;	0
0x2286f19bc5c52569509dde6c4a62d729	LongtermDebtType=PrudentialFacility;	0
0x254f652eb456b2d278da903d40d330fa	AwardType=RestrictedStock;PlanName=EquityIncentivePlan2018;Vesting=ShareBasedCompensationAwardTrancheTwo;	0
0x454769004832fe8ab0e7acd27c194084	BalanceSheetLocation=CashEquivalents;FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FinancialInstrument=Deposits;	0
0x588fa417415b07b8b793d18c88fded9f	ClassOfStock=ETprC;	0
0x136af76ee0e1ed398f108597ad49c989	IndividualAssetsOrCashgeneratingUnits=Grasscity;Range=BottomOfRange;	0
0xb2ecc90df86352ad600d2e2a52c912d1	TitleOfIndividual=NonRelatedParties;	0
0xedb2d4d016a9e75f4bfed7c87983ec07	RelatedPartyTransactionsByRelatedParty=OngKokLeong;	0
0x0e7d59ab01c20e334b1d809820a26dda	FinancialInstrument=CypressDevelopmentCorp;	0
0x7443daf66cf2a5361de9fd81e1391293	SubsequentEventType=SubsequentEvent;TypeOfArrangement=WarrantAmendmentAgreement;	0
0xfd931dcf3c8e9eec3a3f4688c686a736	EquitySecuritiesByIndustry=TotalEducationServicesOne;Ownership=C2EducationSystemsInc;ScheduleOfEquityMethodInvestmentEquityMethodInvesteeName=SaratogaCLO;	0
0xfe6963d573f2b239f68fd70e65d3f3ee	DefinedBenefitPlanByPlanAssetCategories=CommodityContract;Range=Minimum;	0
0x8218c9a0e318b87f7d4568e702dc4875	ClassOfStock=SeriesCTwoPreferredShares;	0
0x877eeb701927b85a3fc7c97ac415ec40	DebtInstrument=LongTermDebt;UnderlyingAssetClass=SecuredNotesPayable;	0
0x5337ecd0ac2575190708a05efc14c747	InvestmentIssuerName=DELPHIBEHAVIORALHEALTHGROUPLLC;	0
0x9e12de48a11d25aaa6714cf688708b50	InvestmentCompanyNonconsolidatedSubsidiary=I45SLFLLC;InvestmentIdentifier=Retail Services WIS Corporation, First Lein;	0
0xd8e82bc2aebf54b520fbc706eb4133ab	ClassOfStock=CommonStockPointZeroOneParValue;	0
0x5173fd3d446520f057a87ae857851c5b	LongtermDebtType=ConvertibleNotePayable1;RelatedPartyTransaction=SkyRoverHoldingsLtd;	0
0xa7262dd38ef12c5c67ce5431ea71d522	FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FinancialInstrument=CorporateBondSecurities;	0
0xe3fb22cc7fe0167ae0a270f7846229f5	ProductOrService=ProductLine;	0
0x9e80f2016f855225dd4ef693c3548a0c	DerivativeInstrumentRisk=ForeignExchangeContract;IncomeStatementLocation=CostOfSalesAndOperatingExpense;	0
0xd41a661ccadf07966e4bd8f29ddfc76a	ClassesOfPropertyPlantAndEquipment=OtherPropertyPlantAndEquipment;	0
0x66f07227bf7913ef4f408c3842643785	BalanceSheetLocation=OtherCurrentLiabilities;DerivativeInstrumentRisk=CrossCurrencyInterestRateContract;DerivativeInstrumentsGainLossByHedgingRelationship=CashFlowHedging;HedgingDesignation=DesignatedAsHedgingInstrument;	0
0xf790bf3b4afef3f9375393cb45424675	FinancingReceivableRecordedInvestmentByClassOfFinancingReceivable=CreditCardAndOtherReceivables;	0
0xe51eb62fa85fa750bbdad49ffc056526	FiniteLivedIntangibleAssetsByMajorClass=OtherIntangibleAssets;	0
0x92c4f20bcd2ae9aad4e3b82dd56306d9	DebtInstrument=SixPointThreeSevenFivePercentSeniorNotes;LongtermDebtType=SeniorNotes;	0
0x5a2394c7d155a810b4127699ed36bb6d	InvestmentIdentifier=US COURTSCRIPT HOLDINGS, INC., First Lien;	0
0xf7912da87faa45e125d4a44fd5c6c30e	ConcentrationRiskByBenchmark=InterestIncomeExpenseNet;	0
0x7abcdb9b31e0ebafe9c574d0a76615c7	DerivativeInstrumentRisk=ForeignExchangeContract;HedgingDesignation=Nondesignated;IncomeStatementLocation=OtherNonoperatingIncomeExpense;	0
0xc9b2088969443a72a5aa1e351fbb08de	EquityComponents=SeriesCConvertiblePreferredStock;	0
0x73c50c7fb9ab86d435e93ef1d60f366b	BalanceSheetLocation=Liability;DerivativeInstrumentRisk=CrossCurrencyInterestRateContract;FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;	0
0x4e39a721584f575daa2b587fbcd3b108	LegalEntity=XeroxCorporation;	0
0xb9cbe85c7ebb6f47e8764d0850954e07	DerivativeInstrumentRisk=InterestRateContract;HedgingDesignation=DesignatedAsHedgingInstrument;	0
0x62b5d5793839a785fe8e8c0f590fa063	DebtInstrument=SeniorSecuredConvertibleDebenture;LegalEntity=LegacyTechPartnersLLC;Scenario=PriorToMarchThirtyOneTwoThousandTwentyTwo;	0
0x0a7010e41d79cf079deb3f28601f76a7	IncomeTaxAuthorityName=StateAdministrationOfTaxationChina;RelatedPartyTransactionsByRelatedParty=Zhengkang;	0
0x3e1a45387172c57876bfff8813733d9d	EquitySecuritiesByIndustry=TotalMarketingOrchestrationSoftware;Ownership=MadisonLogicInc;ScheduleOfEquityMethodInvestmentEquityMethodInvesteeName=SaratogaCLO;	0
0x09ee91859de464a8d1dc984cf34ff15c	CategoriesOfRelatedParties=NonExecutiveDirectors;	0
0xeb36b3e96c25bfcb51613dbfe1cf7546	MortgageLoansOnRealEstateDescriptionTypeOfProperty=RetailSite;RealEstateAndAccumulatedDepreciationDescriptionOfProperty=BrewsterNy;	0
0xfd9fd0535568cacb0d4f08f36448a427	RealEstateAndAccumulatedDepreciationDescriptionOfProperty=OtherDispositions;	0
0xdab2c12ff7c050f54664dc3d2c01d700	ClassOfStock=RedeemableWarrantsEachWholeWarrantExercisableForOneShareOfCommonStockAtExercisePriceOf11.50PerShare;	0
0x32f603014a95a8c19370c3659721921e	CounterpartyName=ThirdPartyRepresentative;LegalEntity=VitalHumanCapitalInc;SubsidiarySaleOfStock=SpecialAcquisitionCompany;	0
0x21c6f6e77902585c3e10165b61859f12	ClassOfStock=SCommonStock;SubsequentEventType=SubsequentEvent;	0
0xaa5864e8925a13d37995ede687213174	ProductOrService=ExportSales;	0
0x5f990f82f997ab38128ece2a768b130c	BusinessAcquisition=OutlineSystemsLLC;	0
0xda5ec370300a7be0bce7aa54b5a298a8	PlanName=AssumedEquityPlans;	0
0x212ffc0445a934ca9f47949c074c3315	AwardDate=FebruaryTwentyEightTwoThousandTwentyTwo;ScheduleOfEquityMethodInvestmentEquityMethodInvesteeName=DTZUSBorrowerLLC;	0
0x182afed763cf27644faee86478f4befd	AwardType=Award42;Geographical=GB;	0
0xfd21f146bf54c1862cc779aa94dd03f2	AwardType=RestrictedStock;PlanName=The2013Plan;TitleOfIndividual=Consultants;	0
0x6b48969e380fb75ee4a8e07348c20ee9	ConsolidationItems=OperatingSegments;ProductOrService=Service;SubsegmentsConsolidationItems=IntersubsegmentEliminations;	0
0x69e9eb4cd63ecaf6820374d0100c1d38	DerivativeInstrumentRisk=InterestRateSwap;EquityComponents=AccumulatedGainLossCashFlowHedgeIncludingNoncontrollingInterest;	0
0x749c6e7afbe9111c6907f39599c3a82f	FinancialInstrument=LoanOriginationCommitments;InterestRateType=AdjustableInterestRate;OtherCommitments=SalesCommitment;	0
0x6ea50943d16eb5eafbf20aa79b979da5	ProductOrService=ContractLogistics;	0
0x9a1b9c694ff02e134b9e1effe8a49ebb	ConsolidatedEntities=Subsidiaries;DebtInstrument=SeniorNotes3.875Percent;DebtInstrumentRedemptionPeriod=IntheEventOfChangeOfControl;LongtermDebtType=SeniorNotes;	0
0x633b9668ed714128d7a40d2841b39768	Geographical=CanadaandEurope;ProductOrService=RentalEquipment;	0
0xa8f252fd10562d9c5d0e74ddceec7055	EquityComponents=CommonStockSubscriptions;	0
0x14dc3dc9288fb08f7d28d606e5454346	EquityComponents=Warrants;Range=Maximum;	0
0x7f5e736918eaced0369b97c950c193a4	ValuationTechniquesUsedInFairValueMeasurement=FVTPLDesignated;	0
0xca3c01ddb64e55ba2975eab0820c7232	Dividends=UnlimitedAmount;	0
0x5eb98e8022dfc3c7f3b6744bffdab470	ConcentrationRiskByBenchmark=GrossRevenue;ConcentrationRiskByType=CustomerConcentrationRisk;MajorCustomers=OneCustomer;	0
0xd9ee30ce88e0dd1917cc8a182b876fc5	BusinessSegments=ConstructionAdhesives;ConsolidationItems=OperatingSegments;Geographical=AsiaPacific;	0
0x38a1dc959cfd52f4d84e2f70dd2af619	WarrantMaturityDate=WarrantExpiryDateThirtyOneOfMarchTwoThousandAndTwentySeven;	0
0x69c7a90c8a92175c159e57756594fd50	AwardType=PerformanceSharesTsr;Range=Maximum;Vesting=PerformanceBased;	0
0xc8274f801daf2dd6358350a52e9283ce	DebtInstrument=TwoPointZeroZeroPercentSeniorConvertibleNoteDueTwentyTwentyFour;Range=Maximum;	0
0x41fbae74c197d5299365d4e27eb86242	ClassesOfLiabilities=BsaKreos2021;	0
0x5efa7d3bd5e2c675fa168620172461a3	ClassesOfFinancialLiabilities=EquityWarrantFour;	0
0x3af1442dfb0b7778672d29f1280e96f9	AccountsNotesLoansAndFinancingReceivableByReceivableType=LongTermLoans;	0
0xa26454a019abf635813052aca2622bf1	LossContingenciesByNatureOfContingency=EcFine;	0
0x9168fdd6cd4c18518073d421599e175f	ConcentrationRiskByType=CustomerB;Restatement=ScenarioPreviouslyReported;	0
0x83199ac65437a61dcddfd21ca415dc9c	ValuationAllowancesAndReservesType=SECSchedule1209AllowanceSalesReturns;	0
0x7170600f57a991424e7757c940cfc6a6	ClassOfStock=PreferredStockSeries1;	0
0x8da61577509d33547cf69ea2c2884d24	IndividualAssetsOrCashgeneratingUnits=DSDistribution;Range=BottomOfRange;	0
0xbf537bdbe19467ed221e629c5683ae9d	ClassesOfFinancialAssets=ShortTermDepositMaturingJanuary12022;	0
0xdbcd8f8b97faa6851250e32f8933e7aa	ClassesOfLiabilities=KreosTranche1;	0
0xb3d6cb93d34eb6081a23c7e3884066f5	EquityComponents=AociIncludingPortionAttributableToNoncontrollingInterest;	0
0x3547bc2837806d9a20eb50e10dd256f0	BusinessSegments=Franchising;	0
0xad80e378755e1e8d5c101ddea61bf663	IncomeStatementLocation=RestructuringChargesAndTransformationInitiativeCharges;RestructuringCostAndReserve=StoreClosuresAndOtherTransformationInitiatives;RestructuringPlan=Fiscal2022RestructuringCharges;	0
0xc8a65c1d3e2a9abb946efd529d5c2caf	Risk=LeveragetRisk;	0
0x2639cc6068dd8e5b9b338d6a63febc26	ScheduleOfEquityMethodInvestmentEquityMethodInvesteeName=PineappleWellnessInc;	0
