adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000002178-23-000055	2178	ADAMS RESOURCES & ENERGY, INC.	5172	US	TX	HOUSTON	77027	17 S. BRIAR HOLLOW LN.		713-881-3600	US	TX	HOUSTON	77001	P O BOX 844		US	DE	741753147	ADAMS RESOURCES & ENERGY INC	19920703	2-ACC	0		DEF 14A				20230403	2023-04-03 09:26:00.0	0	0	ae-20230403_htm.xml	1					
0000008818-23-000007	8818	AVERY DENNISON CORP	2670	US	OH	MENTOR	44060	8080 NORTON PARKWAY		440-534-6000	US	OH	MENTOR	44060	8080 NORTON PARKWAY		US	DE	951492269	AVERY DENNISON CORPORATION	19920703	1-LAF	0	1231	8-K	20230331			20230403	2023-04-03 07:34:00.0	0	0	avy-20230403_htm.xml	1					
0000017313-23-000013	17313	CAPITAL SOUTHWEST CORP		US	TX	DALLAS	75225	8333 DOUGLAS AVE	SUITE 1100	2142385700	US	TX	DALLAS	75225	8333 DOUGLAS AVE	SUITE 1100	US	TX	751072796			4-NON	0	0331	8-K	20230331			20230403	2023-04-03 16:05:00.0	0	0	cswc-20230403_htm.xml	1					
0000028823-23-000084	28823	DIEBOLD NIXDORF, INC	3578	US	OH	HUDSON	44236	50 EXECUTIVE PKWY		3304904000	US	OH	HUDSON	44236	50 EXECUTIVE PKWY	P.O. BOX 2520	US	OH	340183970	DIEBOLD INC	19920703	2-ACC	0	1231	8-K	20230331			20230403	2023-04-03 16:11:00.0	0	0	dbd-20230328_htm.xml	1					
0000076334-23-000013	76334	PARKER HANNIFIN CORP	3490	US	OH	CLEVELAND	44124-4141	6035 PARKLAND BOULEVARD		2168963000	US	OH	CLEVELAND	44124-4141	6035 PARKLAND BOULEVARD		US	OH	340451060	PARKER APPLIANCE CO	19670907	1-LAF	0	0630	8-K	20230331			20230403	2023-04-03 16:42:00.0	0	0	ph-20230329_htm.xml	1					
0000079879-23-000016	79879	PPG INDUSTRIES INC	2851	US	PA	PITTSBURGH	15272	ONE PPG PL 40 EAST		4124343131	US	PA	PITTSBURGH	15272	ONE PPG PL 40 EAST		US	PA	250730780	PITTSBURGH PLATE GLASS CO	19681219	1-LAF	0	1231	8-K	20230331			20230403	2023-04-03 10:01:00.0	0	0	ppg-20230403_htm.xml	1					
0000081061-23-000015	81061	PUBLIX SUPER MARKETS INC	5411	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		863-688-1188	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		US	FL	590324412			4-NON	0	1231	8-K	20230331			20230403	2023-04-03 16:10:00.0	0	0	ck0000081061-20230401_htm.xml	1					
0000084246-23-000025	84246	RLI CORP	6331	US	IL	PEORIA	61615	9025 N. LINDBERGH DRIVE		3096921000	US	IL	PEORIA	61615	9025 N. LINDBERGH DRIVE		US	DE	370889946			1-LAF	0	1231	8-K	20230331			20230403	2023-04-03 17:21:00.0	0	0	tmb-20230330x8k_htm.xml	1					
0000089439-23-000025	89439	MUELLER INDUSTRIES INC	3350	US	TN	COLLIERVILLE	38017	SUITE 100	150 SCHILLING BOULEVARD	(901)753-3200	US	TN	COLLIERVILLE	38017	SUITE 100	150 SCHILLING BOULEVARD	US	DE	250790410	SHARON STEEL CORP	19910103	1-LAF	0	1231	8-K	20230331			20230403	2023-04-03 16:53:00.0	0	0	mli-20230403_htm.xml	1					
0000102212-23-000026	102212	UNIVEST FINANCIAL CORP	6022	US	PA	SOUDERTON	18964	14 NORTH MAIN STREET	PO BOX 197	2157212400	US	PA	SOUDERTON	18964	14 NORTH MAIN STREET	PO BOX 197	US	PA	231886144	UNIVEST CORP OF PENNSYLVANIA	19920703	1-LAF	0	1231	8-K	20230331			20230403	2023-04-03 16:43:00.0	0	0	uvsp-20230401_htm.xml	1					
